Date,OrderCreatedLocalDateTime,OrderProcessingTime
11/5/2024,2024-11-05T07:37:00.000+0000,103
11/5/2024,2024-11-05T07:38:11.000+0000,124
11/5/2024,2024-11-05T07:38:20.000+0000,32
11/5/2024,2024-11-05T07:39:04.000+0000,118
11/5/2024,2024-11-05T07:39:56.000+0000,80
11/5/2024,2024-11-05T07:41:08.000+0000,27
11/5/2024,2024-11-05T07:41:15.000+0000,38
11/5/2024,2024-11-05T07:41:37.000+0000,27
11/5/2024,2024-11-05T07:42:03.000+0000,84
11/5/2024,2024-11-05T07:42:29.692+0000,92
11/5/2024,2024-11-05T07:42:39.000+0000,133
11/5/2024,2024-11-05T07:42:51.000+0000,70
11/5/2024,2024-11-05T07:43:22.229+0000,97
11/5/2024,2024-11-05T07:43:26.000+0000,128
11/5/2024,2024-11-05T07:43:55.000+0000,155
11/5/2024,2024-11-05T07:44:23.000+0000,122
11/5/2024,2024-11-05T07:44:37.000+0000,136
11/5/2024,2024-11-05T07:44:47.671+0000,147
11/5/2024,2024-11-05T07:45:14.000+0000,147
11/5/2024,2024-11-05T07:45:17.000+0000,125
11/5/2024,2024-11-05T07:45:53.000+0000,138
11/5/2024,2024-11-05T07:46:29.898+0000,132
11/5/2024,2024-11-05T07:46:58.000+0000,100
11/5/2024,2024-11-05T07:47:12.000+0000,112
11/5/2024,2024-11-05T07:47:26.000+0000,151
11/5/2024,2024-11-05T07:47:34.000+0000,77
11/5/2024,2024-11-05T07:47:56.000+0000,59
11/5/2024,2024-11-05T07:47:57.000+0000,141
11/5/2024,2024-11-05T07:48:41.000+0000,113
11/5/2024,2024-11-05T07:48:51.000+0000,150
11/5/2024,2024-11-05T07:49:28.000+0000,129
11/5/2024,2024-11-05T07:49:34.000+0000,33
11/5/2024,2024-11-05T07:49:52.000+0000,136
11/5/2024,2024-11-05T07:50:23.000+0000,140
11/5/2024,2024-11-05T07:50:32.000+0000,153
11/5/2024,2024-11-05T07:51:03.838+0000,35
11/5/2024,2024-11-05T07:51:50.000+0000,136
11/5/2024,2024-11-05T07:51:50.000+0000,92
11/5/2024,2024-11-05T07:52:05.000+0000,135
11/5/2024,2024-11-05T07:52:37.000+0000,146
11/5/2024,2024-11-05T07:52:43.000+0000,187
11/5/2024,2024-11-05T07:53:00.000+0000,219
11/5/2024,2024-11-05T07:53:54.000+0000,183
11/5/2024,2024-11-05T07:54:00.000+0000,10
11/5/2024,2024-11-05T07:54:12.000+0000,209
11/5/2024,2024-11-05T07:54:30.000+0000,232
11/5/2024,2024-11-05T07:54:52.000+0000,235
11/5/2024,2024-11-05T07:55:13.000+0000,246
11/5/2024,2024-11-05T07:55:16.000+0000,85
11/5/2024,2024-11-05T07:55:56.000+0000,54
11/5/2024,2024-11-05T07:56:48.000+0000,59
11/5/2024,2024-11-05T07:57:26.000+0000,118
11/5/2024,2024-11-05T07:57:43.000+0000,148
11/5/2024,2024-11-05T07:57:45.000+0000,108
11/5/2024,2024-11-05T07:58:07.000+0000,142
11/5/2024,2024-11-05T07:58:17.000+0000,75
11/5/2024,2024-11-05T07:58:41.000+0000,101
11/5/2024,2024-11-05T07:58:52.000+0000,118
11/5/2024,2024-11-05T07:58:54.000+0000,162
11/5/2024,2024-11-05T07:59:44.000+0000,77
11/5/2024,2024-11-05T08:00:30.000+0000,70
11/5/2024,2024-11-05T08:01:51.000+0000,31
11/5/2024,2024-11-05T08:02:07.000+0000,26
11/5/2024,2024-11-05T08:02:13.572+0000,32
11/5/2024,2024-11-05T08:02:21.000+0000,13
11/5/2024,2024-11-05T08:02:37.000+0000,27
11/5/2024,2024-11-05T08:02:52.000+0000,33
11/5/2024,2024-11-05T08:03:00.000+0000,83
11/5/2024,2024-11-05T08:03:40.000+0000,69
11/5/2024,2024-11-05T08:04:32.000+0000,20
11/5/2024,2024-11-05T08:04:35.000+0000,51
11/5/2024,2024-11-05T08:05:16.000+0000,50
11/5/2024,2024-11-05T08:05:32.000+0000,54
11/5/2024,2024-11-05T08:05:37.000+0000,10
11/5/2024,2024-11-05T08:06:05.000+0000,8
11/5/2024,2024-11-05T08:06:29.000+0000,53
11/5/2024,2024-11-05T08:06:30.000+0000,56
11/5/2024,2024-11-05T08:06:55.000+0000,61
11/5/2024,2024-11-05T08:07:06.000+0000,6
11/5/2024,2024-11-05T08:08:35.000+0000,14
11/5/2024,2024-11-05T08:08:59.000+0000,40
11/5/2024,2024-11-05T08:09:47.000+0000,23
11/5/2024,2024-11-05T08:09:52.000+0000,21
11/5/2024,2024-11-05T08:10:10.000+0000,22
11/5/2024,2024-11-05T08:10:20.000+0000,15
11/5/2024,2024-11-05T08:10:31.000+0000,42
11/5/2024,2024-11-05T08:10:39.000+0000,56
11/5/2024,2024-11-05T08:11:02.000+0000,126
11/5/2024,2024-11-05T08:11:23.000+0000,109
11/5/2024,2024-11-05T08:12:43.000+0000,35
11/5/2024,2024-11-05T08:13:44.714+0000,6
11/5/2024,2024-11-05T08:13:53.000+0000,7
11/5/2024,2024-11-05T08:13:54.000+0000,70
11/5/2024,2024-11-05T08:13:54.000+0000,35
11/5/2024,2024-11-05T08:14:10.000+0000,4
11/5/2024,2024-11-05T08:16:15.000+0000,18
11/5/2024,2024-11-05T08:16:39.000+0000,20
11/5/2024,2024-11-05T08:16:51.000+0000,8
11/5/2024,2024-11-05T08:17:00.000+0000,7
11/5/2024,2024-11-05T08:17:29.000+0000,11
11/5/2024,2024-11-05T08:17:40.000+0000,5
11/5/2024,2024-11-05T08:18:00.000+0000,29
11/5/2024,2024-11-05T08:19:10.000+0000,22
11/5/2024,2024-11-05T08:20:07.000+0000,4
11/5/2024,2024-11-05T08:20:10.000+0000,5
11/5/2024,2024-11-05T08:20:12.000+0000,13
11/5/2024,2024-11-05T08:20:27.000+0000,14
11/5/2024,2024-11-05T08:20:28.000+0000,47
11/5/2024,2024-11-05T08:20:53.000+0000,37
11/5/2024,2024-11-05T08:21:06.000+0000,12
11/5/2024,2024-11-05T08:21:28.000+0000,99
11/5/2024,2024-11-05T08:21:37.000+0000,96
11/5/2024,2024-11-05T08:21:39.000+0000,112
11/5/2024,2024-11-05T08:22:30.653+0000,65
11/5/2024,2024-11-05T08:23:03.000+0000,17
11/5/2024,2024-11-05T08:23:08.000+0000,53
11/5/2024,2024-11-05T08:23:39.000+0000,98
11/5/2024,2024-11-05T08:23:44.170+0000,96
11/5/2024,2024-11-05T08:24:02.000+0000,141
11/5/2024,2024-11-05T08:24:58.000+0000,46
11/5/2024,2024-11-05T08:25:08.107+0000,78
11/5/2024,2024-11-05T08:25:36.000+0000,54
11/5/2024,2024-11-05T08:25:37.000+0000,105
11/5/2024,2024-11-05T08:26:28.000+0000,59
11/5/2024,2024-11-05T08:27:08.000+0000,31
11/5/2024,2024-11-05T08:27:10.387+0000,105
11/5/2024,2024-11-05T08:27:21.000+0000,129
11/5/2024,2024-11-05T08:27:23.000+0000,68
11/5/2024,2024-11-05T08:27:45.000+0000,51
11/5/2024,2024-11-05T08:27:50.000+0000,124
11/5/2024,2024-11-05T08:28:03.000+0000,116
11/5/2024,2024-11-05T08:28:05.000+0000,116
11/5/2024,2024-11-05T08:28:37.000+0000,133
11/5/2024,2024-11-05T08:28:43.000+0000,130
11/5/2024,2024-11-05T08:28:44.000+0000,141
11/5/2024,2024-11-05T08:30:15.000+0000,51
11/5/2024,2024-11-05T08:30:45.000+0000,31
11/5/2024,2024-11-05T08:30:47.000+0000,72
11/5/2024,2024-11-05T08:30:49.000+0000,77
11/5/2024,2024-11-05T08:31:12.000+0000,54
11/5/2024,2024-11-05T08:31:16.000+0000,90
11/5/2024,2024-11-05T08:31:26.000+0000,84
11/5/2024,2024-11-05T08:31:40.450+0000,75
11/5/2024,2024-11-05T08:32:04.000+0000,89
11/5/2024,2024-11-05T08:32:30.000+0000,55
11/5/2024,2024-11-05T08:32:49.000+0000,55
11/5/2024,2024-11-05T08:33:08.000+0000,46
11/5/2024,2024-11-05T08:33:21.000+0000,61
11/5/2024,2024-11-05T08:33:33.000+0000,116
11/5/2024,2024-11-05T08:33:38.000+0000,154
11/5/2024,2024-11-05T08:33:40.000+0000,169
11/5/2024,2024-11-05T08:33:46.000+0000,55
11/5/2024,2024-11-05T08:33:59.000+0000,52
11/5/2024,2024-11-05T08:34:05.178+0000,159
11/5/2024,2024-11-05T08:34:13.000+0000,89
11/5/2024,2024-11-05T08:34:25.000+0000,188
11/5/2024,2024-11-05T08:34:46.000+0000,175
11/5/2024,2024-11-05T08:34:52.629+0000,58
11/5/2024,2024-11-05T08:35:02.000+0000,203
11/5/2024,2024-11-05T08:35:39.000+0000,65
11/5/2024,2024-11-05T08:35:57.000+0000,179
11/5/2024,2024-11-05T08:36:02.000+0000,47
11/5/2024,2024-11-05T08:36:08.000+0000,114
11/5/2024,2024-11-05T08:36:11.000+0000,181
11/5/2024,2024-11-05T08:36:13.000+0000,232
11/5/2024,2024-11-05T08:36:19.000+0000,261
11/5/2024,2024-11-05T08:36:19.000+0000,305
11/5/2024,2024-11-05T08:36:32.000+0000,316
11/5/2024,2024-11-05T08:36:33.000+0000,335
11/5/2024,2024-11-05T08:38:00.000+0000,286
11/5/2024,2024-11-05T08:38:24.000+0000,337
11/5/2024,2024-11-05T08:39:04.000+0000,338
11/5/2024,2024-11-05T08:39:31.000+0000,340
11/5/2024,2024-11-05T08:40:15.000+0000,8
11/5/2024,2024-11-05T08:41:08.000+0000,257
11/5/2024,2024-11-05T08:41:12.000+0000,53
11/5/2024,2024-11-05T08:41:30.000+0000,38
11/5/2024,2024-11-05T08:41:32.000+0000,244
11/5/2024,2024-11-05T08:41:36.047+0000,300
11/5/2024,2024-11-05T08:41:54.000+0000,209
11/5/2024,2024-11-05T08:42:03.000+0000,58
11/5/2024,2024-11-05T08:42:17.000+0000,98
11/5/2024,2024-11-05T08:42:28.000+0000,302
11/5/2024,2024-11-05T08:42:58.000+0000,77
11/5/2024,2024-11-05T08:43:07.000+0000,176
11/5/2024,2024-11-05T08:43:12.000+0000,284
11/5/2024,2024-11-05T08:43:12.000+0000,236
11/5/2024,2024-11-05T08:43:22.000+0000,140
11/5/2024,2024-11-05T08:43:45.000+0000,123
11/5/2024,2024-11-05T08:43:52.000+0000,240
11/5/2024,2024-11-05T08:43:59.000+0000,291
11/5/2024,2024-11-05T08:44:14.000+0000,127
11/5/2024,2024-11-05T08:44:20.000+0000,126
11/5/2024,2024-11-05T08:44:24.000+0000,133
11/5/2024,2024-11-05T08:44:29.000+0000,145
11/5/2024,2024-11-05T08:44:42.000+0000,136
11/5/2024,2024-11-05T08:44:45.000+0000,215
11/5/2024,2024-11-05T08:45:10.000+0000,235
11/5/2024,2024-11-05T08:45:12.000+0000,149
11/5/2024,2024-11-05T08:45:16.000+0000,224
11/5/2024,2024-11-05T08:45:20.000+0000,240
11/5/2024,2024-11-05T08:45:50.000+0000,218
11/5/2024,2024-11-05T08:45:58.000+0000,205
11/5/2024,2024-11-05T08:46:12.000+0000,226
11/5/2024,2024-11-05T08:46:44.000+0000,207
11/5/2024,2024-11-05T08:46:55.000+0000,243
11/5/2024,2024-11-05T08:47:00.000+0000,193
11/5/2024,2024-11-05T08:47:14.000+0000,274
11/5/2024,2024-11-05T08:47:15.562+0000,318
11/5/2024,2024-11-05T08:47:16.000+0000,135
11/5/2024,2024-11-05T08:47:22.000+0000,157
11/5/2024,2024-11-05T08:47:25.000+0000,171
11/5/2024,2024-11-05T08:48:04.000+0000,290
11/5/2024,2024-11-05T08:48:25.000+0000,290
11/5/2024,2024-11-05T08:48:36.000+0000,137
11/5/2024,2024-11-05T08:48:52.000+0000,263
11/5/2024,2024-11-05T08:49:12.000+0000,303
11/5/2024,2024-11-05T08:49:32.000+0000,329
11/5/2024,2024-11-05T08:49:35.000+0000,284
11/5/2024,2024-11-05T08:50:16.000+0000,340
11/5/2024,2024-11-05T08:50:46.000+0000,402
11/5/2024,2024-11-05T08:50:55.000+0000,221
11/5/2024,2024-11-05T08:51:41.000+0000,273
11/5/2024,2024-11-05T08:51:49.000+0000,194
11/5/2024,2024-11-05T08:51:55.000+0000,192
11/5/2024,2024-11-05T08:51:56.000+0000,226
11/5/2024,2024-11-05T08:51:57.000+0000,269
11/5/2024,2024-11-05T08:52:19.000+0000,262
11/5/2024,2024-11-05T08:52:23.000+0000,262
11/5/2024,2024-11-05T08:52:49.000+0000,12
11/5/2024,2024-11-05T08:52:50.000+0000,238
11/5/2024,2024-11-05T08:52:58.000+0000,263
11/5/2024,2024-11-05T08:53:12.000+0000,53
11/5/2024,2024-11-05T08:53:50.000+0000,214
11/5/2024,2024-11-05T08:54:13.000+0000,195
11/5/2024,2024-11-05T08:54:40.000+0000,198
11/5/2024,2024-11-05T08:55:04.000+0000,244
11/5/2024,2024-11-05T08:55:41.776+0000,249
11/5/2024,2024-11-05T08:55:53.000+0000,165
11/5/2024,2024-11-05T08:56:01.000+0000,177
11/5/2024,2024-11-05T08:57:47.000+0000,128
11/5/2024,2024-11-05T08:57:55.000+0000,126
11/5/2024,2024-11-05T08:58:29.000+0000,96
11/5/2024,2024-11-05T08:58:40.612+0000,166
11/5/2024,2024-11-05T08:59:14.000+0000,136
11/5/2024,2024-11-05T08:59:18.000+0000,4
11/5/2024,2024-11-05T08:59:45.000+0000,170
11/5/2024,2024-11-05T09:00:11.000+0000,167
11/5/2024,2024-11-05T09:00:36.000+0000,153
11/5/2024,2024-11-05T09:00:48.000+0000,155
11/5/2024,2024-11-05T09:00:54.000+0000,165
11/5/2024,2024-11-05T09:01:27.000+0000,129
11/5/2024,2024-11-05T09:01:28.000+0000,148
11/5/2024,2024-11-05T09:02:17.000+0000,103
11/5/2024,2024-11-05T09:02:53.000+0000,117
11/5/2024,2024-11-05T09:02:53.000+0000,100
11/5/2024,2024-11-05T09:02:54.000+0000,110
11/5/2024,2024-11-05T09:03:00.000+0000,153
11/5/2024,2024-11-05T09:03:18.000+0000,141
11/5/2024,2024-11-05T09:03:38.000+0000,128
11/5/2024,2024-11-05T09:03:57.000+0000,127
11/5/2024,2024-11-05T09:04:25.000+0000,67
11/5/2024,2024-11-05T09:04:26.000+0000,140
11/5/2024,2024-11-05T09:04:43.000+0000,51
11/5/2024,2024-11-05T09:05:01.000+0000,129
11/5/2024,2024-11-05T09:05:03.000+0000,140
11/5/2024,2024-11-05T09:05:07.025+0000,200
11/5/2024,2024-11-05T09:05:22.618+0000,92
11/5/2024,2024-11-05T09:05:27.000+0000,219
11/5/2024,2024-11-05T09:06:02.000+0000,108
11/5/2024,2024-11-05T09:06:03.000+0000,210
11/5/2024,2024-11-05T09:07:03.000+0000,160
11/5/2024,2024-11-05T09:07:17.000+0000,131
11/5/2024,2024-11-05T09:07:26.000+0000,125
11/5/2024,2024-11-05T09:08:00.000+0000,135
11/5/2024,2024-11-05T09:08:05.000+0000,160
11/5/2024,2024-11-05T09:08:32.000+0000,102
11/5/2024,2024-11-05T09:08:33.000+0000,144
11/5/2024,2024-11-05T09:10:11.000+0000,56
11/5/2024,2024-11-05T09:10:43.000+0000,58
11/5/2024,2024-11-05T09:10:48.000+0000,58
11/5/2024,2024-11-05T09:11:16.000+0000,74
11/5/2024,2024-11-05T09:12:14.000+0000,24
11/5/2024,2024-11-05T09:12:54.000+0000,27
11/5/2024,2024-11-05T09:13:26.202+0000,82
11/5/2024,2024-11-05T09:13:44.000+0000,70
11/5/2024,2024-11-05T09:14:11.773+0000,87
11/5/2024,2024-11-05T09:14:45.000+0000,57
11/5/2024,2024-11-05T09:15:14.000+0000,52
11/5/2024,2024-11-05T09:16:06.000+0000,40
11/5/2024,2024-11-05T09:16:32.000+0000,73
11/5/2024,2024-11-05T09:16:41.000+0000,68
11/5/2024,2024-11-05T09:17:39.000+0000,15
11/5/2024,2024-11-05T09:18:04.205+0000,8
11/5/2024,2024-11-05T09:18:32.000+0000,48
11/5/2024,2024-11-05T09:18:39.000+0000,77
11/5/2024,2024-11-05T09:18:42.177+0000,109
11/5/2024,2024-11-05T09:18:47.000+0000,157
11/5/2024,2024-11-05T09:19:44.000+0000,118
11/5/2024,2024-11-05T09:19:58.000+0000,22
11/5/2024,2024-11-05T09:20:01.000+0000,105
11/5/2024,2024-11-05T09:20:06.000+0000,106
11/5/2024,2024-11-05T09:20:13.000+0000,107
11/5/2024,2024-11-05T09:20:28.000+0000,92
11/5/2024,2024-11-05T09:20:43.000+0000,169
11/5/2024,2024-11-05T09:20:57.000+0000,160
11/5/2024,2024-11-05T09:22:24.000+0000,79
11/5/2024,2024-11-05T09:22:27.000+0000,114
11/5/2024,2024-11-05T09:22:35.000+0000,136
11/5/2024,2024-11-05T09:23:41.000+0000,44
11/5/2024,2024-11-05T09:23:41.000+0000,115
11/5/2024,2024-11-05T09:24:17.000+0000,99
11/5/2024,2024-11-05T09:24:28.000+0000,77
11/5/2024,2024-11-05T09:24:46.000+0000,77
11/5/2024,2024-11-05T09:24:51.000+0000,114
11/5/2024,2024-11-05T09:24:59.000+0000,56
11/5/2024,2024-11-05T09:25:04.752+0000,213
11/5/2024,2024-11-05T09:25:28.000+0000,230
11/5/2024,2024-11-05T09:25:32.000+0000,114
11/5/2024,2024-11-05T09:25:55.000+0000,94
11/5/2024,2024-11-05T09:26:08.000+0000,195
11/5/2024,2024-11-05T09:26:29.000+0000,209
11/5/2024,2024-11-05T09:26:30.037+0000,228
11/5/2024,2024-11-05T09:27:14.000+0000,61
11/5/2024,2024-11-05T09:27:15.000+0000,209
11/5/2024,2024-11-05T09:27:17.000+0000,240
11/5/2024,2024-11-05T09:27:57.000+0000,133
11/5/2024,2024-11-05T09:28:10.000+0000,215
11/5/2024,2024-11-05T09:28:58.000+0000,116
11/5/2024,2024-11-05T09:29:05.000+0000,170
11/5/2024,2024-11-05T09:29:16.000+0000,102
11/5/2024,2024-11-05T09:29:22.000+0000,205
11/5/2024,2024-11-05T09:30:16.000+0000,94
11/5/2024,2024-11-05T09:30:27.000+0000,90
11/5/2024,2024-11-05T09:31:05.000+0000,108
11/5/2024,2024-11-05T09:31:08.000+0000,160
11/5/2024,2024-11-05T09:31:09.000+0000,142
11/5/2024,2024-11-05T09:31:12.000+0000,180
11/5/2024,2024-11-05T09:31:24.259+0000,163
11/5/2024,2024-11-05T09:32:17.000+0000,124
11/5/2024,2024-11-05T09:32:30.445+0000,214
11/5/2024,2024-11-05T09:33:42.000+0000,32
11/5/2024,2024-11-05T09:34:51.000+0000,86
11/5/2024,2024-11-05T09:34:58.000+0000,84
11/5/2024,2024-11-05T09:34:59.000+0000,149
11/5/2024,2024-11-05T09:35:04.000+0000,212
11/5/2024,2024-11-05T09:36:31.000+0000,128
11/5/2024,2024-11-05T09:37:07.000+0000,110
11/5/2024,2024-11-05T09:37:08.000+0000,6
11/5/2024,2024-11-05T09:37:18.000+0000,165
11/5/2024,2024-11-05T09:39:35.000+0000,30
11/5/2024,2024-11-05T09:40:47.000+0000,19
11/5/2024,2024-11-05T09:41:12.000+0000,30
11/5/2024,2024-11-05T09:42:28.000+0000,9
11/5/2024,2024-11-05T09:42:51.000+0000,12
11/5/2024,2024-11-05T09:43:15.000+0000,44
11/5/2024,2024-11-05T09:43:37.000+0000,10
11/5/2024,2024-11-05T09:43:44.000+0000,40
11/5/2024,2024-11-05T09:43:51.000+0000,61
11/5/2024,2024-11-05T09:44:09.000+0000,36
11/5/2024,2024-11-05T09:44:26.000+0000,23
11/5/2024,2024-11-05T09:44:34.575+0000,22
11/5/2024,2024-11-05T09:44:38.000+0000,99
11/5/2024,2024-11-05T09:46:05.000+0000,39
11/5/2024,2024-11-05T09:46:08.000+0000,11
11/5/2024,2024-11-05T09:46:13.000+0000,36
11/5/2024,2024-11-05T09:46:27.000+0000,54
11/5/2024,2024-11-05T09:46:55.000+0000,72
11/5/2024,2024-11-05T09:47:11.000+0000,59
11/5/2024,2024-11-05T09:47:32.141+0000,120
11/5/2024,2024-11-05T09:48:00.000+0000,96
11/5/2024,2024-11-05T09:48:08.000+0000,4
11/5/2024,2024-11-05T09:49:57.000+0000,51
11/5/2024,2024-11-05T09:50:02.000+0000,65
11/5/2024,2024-11-05T09:50:05.000+0000,130
11/5/2024,2024-11-05T09:50:37.560+0000,107
11/5/2024,2024-11-05T09:50:41.000+0000,107
11/5/2024,2024-11-05T09:51:51.000+0000,90
11/5/2024,2024-11-05T09:52:15.000+0000,116
11/5/2024,2024-11-05T09:52:54.000+0000,7
11/5/2024,2024-11-05T09:53:00.000+0000,80
11/5/2024,2024-11-05T09:53:52.000+0000,66
11/5/2024,2024-11-05T09:54:13.659+0000,69
11/5/2024,2024-11-05T09:54:21.000+0000,4
11/5/2024,2024-11-05T09:54:29.000+0000,87
11/5/2024,2024-11-05T09:54:36.000+0000,114
11/5/2024,2024-11-05T09:55:28.662+0000,93
11/5/2024,2024-11-05T09:56:10.000+0000,7
11/5/2024,2024-11-05T09:56:19.000+0000,33
11/5/2024,2024-11-05T09:56:19.000+0000,46
11/5/2024,2024-11-05T09:56:46.000+0000,22
11/5/2024,2024-11-05T09:56:55.000+0000,16
11/5/2024,2024-11-05T09:57:32.000+0000,143
11/5/2024,2024-11-05T09:57:32.000+0000,49
11/5/2024,2024-11-05T09:58:36.157+0000,100
11/5/2024,2024-11-05T09:59:00.305+0000,49
11/5/2024,2024-11-05T09:59:09.000+0000,126
11/5/2024,2024-11-05T09:59:18.000+0000,105
11/5/2024,2024-11-05T09:59:33.000+0000,117
11/6/2024,2024-11-06T07:04:52.000+0000,54
11/6/2024,2024-11-06T07:07:51.000+0000,75
11/6/2024,2024-11-06T07:07:54.000+0000,132
11/6/2024,2024-11-06T07:08:21.744+0000,217
11/6/2024,2024-11-06T07:09:29.607+0000,249
11/6/2024,2024-11-06T07:09:50.000+0000,279
11/6/2024,2024-11-06T07:10:38.000+0000,256
11/6/2024,2024-11-06T07:11:11.000+0000,265
11/6/2024,2024-11-06T07:11:48.000+0000,277
11/6/2024,2024-11-06T07:12:05.000+0000,274
11/6/2024,2024-11-06T07:12:45.000+0000,266
11/6/2024,2024-11-06T07:13:01.000+0000,25
11/6/2024,2024-11-06T07:16:44.000+0000,51
11/6/2024,2024-11-06T07:16:58.000+0000,78
11/6/2024,2024-11-06T07:17:35.000+0000,45
11/6/2024,2024-11-06T07:19:08.000+0000,20
11/6/2024,2024-11-06T07:19:31.510+0000,84
11/6/2024,2024-11-06T07:20:05.000+0000,54
11/6/2024,2024-11-06T07:21:54.665+0000,11
11/6/2024,2024-11-06T07:23:03.000+0000,26
11/6/2024,2024-11-06T07:23:31.000+0000,28
11/6/2024,2024-11-06T07:24:36.000+0000,36
11/6/2024,2024-11-06T07:25:42.000+0000,20
11/6/2024,2024-11-06T07:25:49.000+0000,113
11/6/2024,2024-11-06T07:25:52.000+0000,193
11/6/2024,2024-11-06T07:26:30.000+0000,22
11/6/2024,2024-11-06T07:26:43.000+0000,204
11/6/2024,2024-11-06T07:26:55.000+0000,357
11/6/2024,2024-11-06T07:29:41.000+0000,6
11/6/2024,2024-11-06T07:29:45.000+0000,236
11/6/2024,2024-11-06T07:33:44.000+0000,141
11/6/2024,2024-11-06T07:36:12.000+0000,8
11/6/2024,2024-11-06T07:37:08.000+0000,16
11/6/2024,2024-11-06T07:39:10.000+0000,81
11/6/2024,2024-11-06T07:39:22.000+0000,77
11/6/2024,2024-11-06T07:39:27.000+0000,92
11/6/2024,2024-11-06T07:39:28.000+0000,74
11/6/2024,2024-11-06T07:39:52.631+0000,91
11/6/2024,2024-11-06T07:39:53.000+0000,157
11/6/2024,2024-11-06T07:40:32.000+0000,57
11/6/2024,2024-11-06T07:42:08.000+0000,39
11/6/2024,2024-11-06T07:43:49.000+0000,70
11/6/2024,2024-11-06T07:44:38.000+0000,29
11/6/2024,2024-11-06T07:46:36.000+0000,14
11/6/2024,2024-11-06T07:48:20.000+0000,9
11/6/2024,2024-11-06T07:48:46.000+0000,29
11/6/2024,2024-11-06T07:48:56.183+0000,89
11/6/2024,2024-11-06T07:50:03.000+0000,26
11/6/2024,2024-11-06T07:50:21.000+0000,17
11/6/2024,2024-11-06T07:50:32.000+0000,68
11/6/2024,2024-11-06T07:50:58.000+0000,83
11/6/2024,2024-11-06T07:52:17.000+0000,79
11/6/2024,2024-11-06T07:53:10.000+0000,42
11/6/2024,2024-11-06T07:53:20.000+0000,71
11/6/2024,2024-11-06T07:53:44.000+0000,131
11/6/2024,2024-11-06T07:54:09.173+0000,9
11/6/2024,2024-11-06T07:54:22.000+0000,21
11/6/2024,2024-11-06T07:54:26.000+0000,119
11/6/2024,2024-11-06T07:55:13.833+0000,8
11/6/2024,2024-11-06T07:55:53.000+0000,101
11/6/2024,2024-11-06T07:56:28.000+0000,58
11/6/2024,2024-11-06T07:56:45.000+0000,43
11/6/2024,2024-11-06T07:56:51.000+0000,159
11/6/2024,2024-11-06T07:56:58.000+0000,216
11/6/2024,2024-11-06T07:57:30.000+0000,155
11/6/2024,2024-11-06T07:57:33.094+0000,200
11/6/2024,2024-11-06T07:57:58.000+0000,205
11/6/2024,2024-11-06T07:58:30.000+0000,176
11/6/2024,2024-11-06T07:58:33.000+0000,219
11/6/2024,2024-11-06T07:59:05.000+0000,124
